customer_code,customer_name,cluster_name,provinsi,kabupaten,distributor_code,distributor_name,salesman,brand,brand_group,year_month,total_volume_sales,total_volume_order,avg_stock,stockout_rate,avg_fill_rate,avg_stock_utilization,n_visits,avg_visit_dur_min,year,month
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-01,PT Distributor Aceh 01,Salesman B1,TIDAR,INTP,2026-12,29,58,401.0,0.0,50.0,20.91810119979134,1,24.0,2026,12
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-01,PT Distributor Aceh 01,Salesman K36,Tecton,SIG,2026-11,27,35,419.0,0.0,77.14285714285715,22.490606548577563,1,19.0,2026,11
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-01,PT Distributor Aceh 01,Salesman R95,RAJASA,INTP,2026-03,5,147,78.0,0.0,3.4013605442176873,6.0278207109737245,1,22.0,2026,3
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-01,PT Distributor Aceh 01,Salesman T45,SANJAYA,INTP,2026-04,12,130,96.0,0.0,9.230769230769232,5.542725173210162,1,42.0,2026,4
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-01,PT Distributor Aceh 01,Salesman X23,Monolith,SIG,2026-06,87,20,215.0,0.0,100.0,11.871893981225842,1,33.0,2026,6
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-02,PT Distributor Aceh 02,Salesman E56,Primebase,SIG,2026-01,58,191,16.0,0.0,30.36649214659686,1.3008130081300813,1,32.0,2026,1
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-02,PT Distributor Aceh 02,Salesman K62,TIDAR,INTP,2026-11,98,59,13.0,0.0,100.0,1.3918629550321198,1,26.0,2026,11
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-02,PT Distributor Aceh 02,Salesman K62,TerraBlock,SIG,2026-09,98,44,437.0,0.0,100.0,35.07223113964687,1,19.0,2026,9
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-02,PT Distributor Aceh 02,Salesman N39,BINTA,INTP,2026-05,16,173,59.0,0.0,9.248554913294797,5.503731343283582,1,38.0,2026,5
CUAtlas-101001-0,Toko Survey 101001 0,Bronze,ACEH,KABUPATEN ACEH BESAR,SD-1010-02,PT Distributor Aceh 02,Salesman O14,Kinetiq,SIG,2026-02,58,68,435.0,0.0,85.29411764705883,74.74226804123711,1,32.0,2026,2
