soldto_desc,province_desc,year_month,total_revenue,total_qty,n_products,n_transactions,year,month
PT Distributor Aceh 01,ACEH,2026-01,1228858909,1113.0900000000001,6,16,2026,1
PT Distributor Aceh 01,ACEH,2026-02,767508652,704.6700000000001,5,7,2026,2
PT Distributor Aceh 01,ACEH,2026-03,860574945,769.24,7,13,2026,3
PT Distributor Aceh 01,ACEH,2026-04,1297141991,1144.85,6,13,2026,4
PT Distributor Aceh 01,ACEH,2026-05,1135972681,1010.2,6,12,2026,5
PT Distributor Aceh 01,ACEH,2026-06,1179565766,1030.82,7,13,2026,6
PT Distributor Aceh 01,ACEH,2026-07,1141813680,1004.76,6,11,2026,7
PT Distributor Aceh 01,ACEH,2026-08,989972953,864.88,5,12,2026,8
PT Distributor Aceh 01,ACEH,2026-09,1027366061,900.3199999999999,6,10,2026,9
PT Distributor Aceh 01,ACEH,2026-10,646319178,543.3,5,9,2026,10
PT Distributor Aceh 01,ACEH,2026-11,1131016120,975.7900000000001,7,13,2026,11
PT Distributor Aceh 01,ACEH,2026-12,811870904,746.12,6,11,2026,12
PT Distributor Aceh 02,ACEH,2026-01,915139069,803.89,6,10,2026,1
PT Distributor Aceh 02,ACEH,2026-02,436418917,380.53000000000003,6,8,2026,2
PT Distributor Aceh 02,ACEH,2026-03,1706756635,1532.8,8,18,2026,3
PT Distributor Aceh 02,ACEH,2026-04,736244705,649.63,7,11,2026,4
PT Distributor Aceh 02,ACEH,2026-05,1184822001,1030.14,6,13,2026,5
PT Distributor Aceh 02,ACEH,2026-06,1176196750,1088.6399999999999,7,13,2026,6
PT Distributor Aceh 02,ACEH,2026-07,1213680203,1110.44,7,15,2026,7
PT Distributor Aceh 02,ACEH,2026-08,983996254,857.21,6,12,2026,8
PT Distributor Aceh 02,ACEH,2026-09,1926298482,1747.6100000000001,8,19,2026,9
PT Distributor Aceh 02,ACEH,2026-10,1039820883,897.66,6,12,2026,10
PT Distributor Aceh 02,ACEH,2026-11,1378223869,1262.98,7,16,2026,11
PT Distributor Aceh 02,ACEH,2026-12,1206722736,1072.64,7,13,2026,12
