kode_toko,nama_toko,kode_gudang,nama_gudang,kode_distributor,provinsi,year_month,total_volume,n_transactions,avg_daily_vol,year,month
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-01,50.300000000000004,5,10.06,2026,1
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-02,14.78,1,14.78,2026,2
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-03,60.47,6,10.078333333333333,2026,3
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-04,23.159999999999997,3,7.719999999999999,2026,4
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-05,34.14,4,8.535,2026,5
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-06,86.16,5,17.232,2026,6
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-07,65.81,4,16.4525,2026,7
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-08,25.39,2,12.695,2026,8
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-09,6.13,1,6.13,2026,9
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-10,9.02,2,4.51,2026,10
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-11,252.11,7,36.01571428571429,2026,11
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-12,4.43,1,4.43,2026,12
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-01,15.28,2,7.64,2026,1
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-02,29.83,2,14.915,2026,2
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-03,48.84,2,24.42,2026,3
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-04,25.22,4,6.305,2026,4
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-05,101.6,4,25.4,2026,5
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-06,71.50999999999999,6,11.918333333333331,2026,6
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-08,127.81,5,25.562,2026,8
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-09,8.99,2,4.495,2026,9
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-10,20.52,4,5.13,2026,10
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-11,38.45,4,9.6125,2026,11
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-12,227.18,4,56.795,2026,12
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-01,58.199999999999996,4,14.549999999999999,2026,1
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-02,30.759999999999998,4,7.6899999999999995,2026,2
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-03,33.25,2,16.625,2026,3
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-04,31.12,3,10.373333333333333,2026,4
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-05,34.72,4,8.68,2026,5
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-06,40.01,4,10.0025,2026,6
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-07,60.83,3,20.276666666666667,2026,7
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-08,23.49,1,23.49,2026,8
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-09,10.879999999999999,2,5.4399999999999995,2026,9
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-10,42.42,3,14.14,2026,10
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-11,129.81,8,16.22625,2026,11
TK-WH-1010-01-1,TB Jaya 1,WH-1010-01,Gudang Aceh 01,SD-1010-03,ACEH,2026-12,27.939999999999998,3,9.313333333333333,2026,12
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-01,49.760000000000005,5,9.952000000000002,2026,1
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-02,89.19,1,89.19,2026,2
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-03,38.13,4,9.5325,2026,3
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-04,20.290000000000003,3,6.7633333333333345,2026,4
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-05,60.84,3,20.28,2026,5
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-06,53.730000000000004,4,13.432500000000001,2026,6
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-07,60.480000000000004,5,12.096,2026,7
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-08,43.89,3,14.63,2026,8
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-09,20.33,2,10.165,2026,9
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-10,41.67,3,13.89,2026,10
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-11,42.56,6,7.093333333333334,2026,11
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-01,ACEH,2026-12,86.19999999999999,3,28.73333333333333,2026,12
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-01,103.04,5,20.608,2026,1
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-02,27.82,2,13.91,2026,2
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-03,113.45,5,22.69,2026,3
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-04,34.730000000000004,4,8.682500000000001,2026,4
TK-WH-1010-01-2,TB Makmur 2,WH-1010-01,Gudang Aceh 01,SD-1010-02,ACEH,2026-05,19.25,2,9.625,2026,5
