year_month,province_desc,district_desc,brand,material_desc,soldto_desc,segment,total_revenue,total_quantity,avg_price_per_ton,n_transactions,year,month
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen PCC Premium,PT Distributor Aceh 01,FB,284303763,266.13,71075940.75,4,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen Portland Tipe I,PT Distributor Aceh 01,FB,60219367,58.06,60219367.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen Portland Tipe I,PT Distributor Aceh 02,FB,35396842,31.86,35396842.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen Portland Tipe I,PT Distributor Aceh 03,FB,112957138,88.01,112957138.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen Tecton Khusus,PT Distributor Aceh 01,MB,308116539,276.06,154058269.5,2,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen Tecton Khusus,PT Distributor Aceh 02,FB,159280110,146.57,159280110.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,Fonda,Fonda Semen Tecton Khusus,PT Distributor Aceh 03,FB,107227824,102.63,107227824.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen PCC Premium,PT Distributor Aceh 01,FB,96736403,81.97,96736403.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen PCC Premium,PT Distributor Aceh 01,MB,75069222,72.78,75069222.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Aceh 01,FB,21493710,16.72,21493710.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Aceh 02,FB,53064269,53.28,53064269.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Aceh 03,MB,136526121,119.15,136526121.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Aceh 02,FB,77695304,72.15,77695304.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Aceh 02,MB,108537667,97.73,108537667.0,1,2026,1
2026-01,ACEH,KABUPATEN ACEH BESAR,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Aceh 03,MB,50982543,47.62,50982543.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen PCC Premium,PT Distributor Aceh 01,FB,11515156,10.72,11515156.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen PCC Premium,PT Distributor Aceh 02,FB,60720642,62.25,60720642.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen PCC Premium,PT Distributor Aceh 03,MB,157438732,148.8,157438732.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen Portland Komposit,PT Distributor Aceh 03,FB,73579945,66.92,73579945.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen Portland Komposit,PT Distributor Aceh 03,MB,78306692,67.64,78306692.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen Portland Tipe I,PT Distributor Aceh 01,FB,39029917,33.75,39029917.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen Portland Tipe I,PT Distributor Aceh 02,MB,145431842,115.24,145431842.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,Fonda,Fonda Semen Tecton Khusus,PT Distributor Aceh 02,FB,169306448,137.95,169306448.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen PCC Premium,PT Distributor Aceh 01,FB,52244086,44.52,52244086.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen PCC Premium,PT Distributor Aceh 03,FB,49986857,44.12,49986857.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen PCC Premium,PT Distributor Aceh 03,MB,249781576,242.12,124890788.0,2,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen Portland Komposit,PT Distributor Aceh 02,MB,19079917,18.55,19079917.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen Portland Komposit,PT Distributor Aceh 03,MB,163538664,134.34,163538664.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Aceh 01,MB,111772443,97.56,111772443.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Aceh 02,FB,86626028,68.31,86626028.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Aceh 03,FB,14896094,12.29,14896094.0,1,2026,1
2026-01,ACEH,KOTA BANDA ACEH,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Aceh 01,MB,168358303,154.82,84179151.5,2,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen PCC Premium,PT Distributor Bali 01,FB,249197122,220.75,124598561.0,2,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen PCC Premium,PT Distributor Bali 02,MB,74973935,78.68,74973935.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Portland Tipe I,PT Distributor Bali 01,FB,49338348,41.6,49338348.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Portland Tipe I,PT Distributor Bali 03,FB,79544671,81.97,79544671.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Portland Tipe I,PT Distributor Bali 03,MB,66498093,63.48,66498093.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Tecton Khusus,PT Distributor Bali 01,MB,83301987,71.94,83301987.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Tecton Khusus,PT Distributor Bali 02,FB,124898753,129.22,124898753.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Tecton Khusus,PT Distributor Bali 03,FB,85740296,71.95,85740296.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Primebase,Primebase Semen Tecton Khusus,PT Distributor Bali 03,MB,148230054,139.08,74115027.0,2,2026,1
2026-01,BALI,KABUPATEN BADUNG,Vanguard,Vanguard Semen PCC Premium,PT Distributor Bali 02,MB,23473205,21.5,23473205.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Vanguard,Vanguard Semen PCC Premium,PT Distributor Bali 03,FB,124987501,119.6,124987501.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Vanguard,Vanguard Semen Portland Komposit,PT Distributor Bali 01,MB,93914980,85.25,93914980.0,1,2026,1
2026-01,BALI,KABUPATEN BADUNG,Vanguard,Vanguard Semen Portland Komposit,PT Distributor Bali 02,FB,179890987,154.17000000000002,89945493.5,2,2026,1
2026-01,BALI,KABUPATEN BADUNG,Vanguard,Vanguard Semen Portland Tipe I,PT Distributor Bali 02,FB,206981752,176.26999999999998,103490876.0,2,2026,1
2026-01,BALI,KABUPATEN BADUNG,Vanguard,Vanguard Semen Tecton Khusus,PT Distributor Bali 01,MB,151146789,146.75,75573394.5,2,2026,1
2026-01,BALI,KOTA DENPASAR,Primebase,Primebase Semen PCC Premium,PT Distributor Bali 01,FB,158591940,123.07,158591940.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Primebase,Primebase Semen Portland Komposit,PT Distributor Bali 02,FB,28158024,24.07,28158024.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Primebase,Primebase Semen Tecton Khusus,PT Distributor Bali 01,FB,70650362,55.13,70650362.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Primebase,Primebase Semen Tecton Khusus,PT Distributor Bali 01,MB,68435624,59.57,68435624.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen PCC Premium,PT Distributor Bali 01,MB,28149579,25.31,28149579.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen PCC Premium,PT Distributor Bali 02,FB,84585090,65.4,84585090.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen Portland Tipe I,PT Distributor Bali 02,FB,44080162,43.21,44080162.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen Portland Tipe I,PT Distributor Bali 02,MB,58114668,45.13,58114668.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen Portland Tipe I,PT Distributor Bali 03,MB,128026028,132.29,128026028.0,1,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen Tecton Khusus,PT Distributor Bali 01,MB,93600911,84.06,46800455.5,2,2026,1
2026-01,BALI,KOTA DENPASAR,Vanguard,Vanguard Semen Tecton Khusus,PT Distributor Bali 03,FB,58328728,47.84,58328728.0,1,2026,1
2026-01,BANTEN,KABUPATEN TANGERANG,Kinetiq,Kinetiq Semen Portland Tipe I,PT Distributor Banten 01,FB,222479162,202.98000000000002,111239581.0,2,2026,1
2026-01,BANTEN,KABUPATEN TANGERANG,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Banten 02,MB,49850263,39.91,49850263.0,1,2026,1
2026-01,BANTEN,KABUPATEN TANGERANG,Omnicore,Omnicore Semen PCC Premium,PT Distributor Banten 02,FB,133672432,139.71,133672432.0,1,2026,1
