soldto,periode,regional,province_desc,target_revenue,total_qty_sellin,avg_price_per_ton,utilisasi_kapasitas,lag_1w_revenue,lag_4w_revenue,rolling_4w_revenue_mean,rolling_4w_revenue_std,total_kapasitas_tonase,jumlah_gudang_distributor,lag_1w_sellout,lag_1w_toko_aktif,lag_1w_sell_through_rate,rolling_4w_str_mean,lag_1w_avg_stock_toko,lag_1w_volume_sales,lag_1w_volume_order,lag_1w_n_toko_surveyed,month,quarter,week_of_year,month_sin,month_cos,week_sin,week_cos
SD-1010-01,2025-12-29,AREA 1,ACEH,41412683,32.18,1286907.089214702,1.1464192567084943,,,,0.0,28.07,1,,,,,0.0,0.0,0.0,0.0,12,4,1,-2.4492935982947064e-16,1.0,0.12053668025532305,0.992708874098054
SD-1010-01,2026-01-05,AREA 1,ACEH,107266897,100.83000000000001,1063838.9999167905,1.151290117459452,41412683.0,,,0.0,87.58000000000001,1,29.42,3.0,0.9142321584113864,,224.5,101.0,277.0,2.0,1,1,2,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052
SD-1010-01,2026-01-12,AREA 1,ACEH,445748792,404.03,1103256.6417529234,1.1578781120571413,107266897.0,,74339790.0,46565961.28911007,348.94,2,93.17,8.0,0.9240304548219324,0.9191313066166593,130.0,219.0,202.0,3.0,1,1,3,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148
SD-1010-01,2026-01-19,AREA 1,ACEH,285072002,246.69,1155587.9461839579,1.0490304027457729,445748792.0,,198142790.66666666,216946406.50999832,235.16,2,361.22,16.0,0.8940424994668096,0.9107683709000428,188.5,223.0,372.0,3.0,1,1,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099
SD-1010-01,2026-01-26,AREA 1,ACEH,349358535,329.36,1060719.3478042462,1.0171396492653209,285072002.0,41412683.0,219875093.5,182390608.70604,323.81,2,228.51,13.0,0.9263042309658182,0.9146523359164866,0.0,0.0,0.0,0.0,1,1,5,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
SD-1010-01,2026-02-02,AREA 1,ACEH,290271468,286.5,1013163.901809288,1.018702850991934,349358535.0,107266897.0,296861556.5,142604897.2425694,281.24,2,290.8,13.0,0.8829244327506549,0.9068254045013038,40.0,19.0,54.0,1.0,2,1,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011
SD-1010-01,2026-02-09,AREA 1,ACEH,268330899,244.28,1098456.2306182974,1.1437399970156383,290271468.0,445748792.0,342612699.25,74683992.60993998,213.57999999999998,2,253.86,6.0,0.8860732675018058,0.8973361076712721,195.5,125.0,84.0,2.0,2,1,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953
SD-1010-01,2026-02-23,AREA 1,ACEH,222882733,187.13,1191058.2006595307,1.1407582820800852,268330899.0,285072002.0,298258226.0,35329644.24761519,164.04,2,206.45,8.0,0.8451366937474744,0.8851096562414383,12.0,81.0,182.0,1.0,2,1,9,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686
SD-1010-01,2026-03-02,AREA 1,ACEH,302909034,293.38,1032480.1406885221,1.0709644056740746,222882733.0,349358535.0,282710908.75,52552397.45535063,273.94,1,175.95999999999998,11.0,0.9403088259333711,0.8886108049833266,354.0,24.0,153.0,1.0,3,1,10,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557
SD-1010-01,2026-03-09,AREA 1,ACEH,299351219,258.51,1157986.9537740531,1.0220613995152255,302909034.0,290271468.0,271098533.5,35175429.76749148,252.93,2,259.11,8.0,0.883189008003647,0.8886769487965746,0.0,0.0,0.0,0.0,3,1,11,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804
SD-1010-01,2026-03-16,AREA 1,ACEH,187009066,149.75,1248808.3706972706,1.0917109359400061,299351219.0,268330899.0,273368471.25,37067213.4059571,137.17,2,235.46,11.0,0.9108351355523914,0.8948674158092209,332.0,177.0,162.0,2.0,3,1,12,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323
SD-1010-01,2026-03-23,AREA 1,ACEH,12614223,11.96,1054700.0378762225,1.1063819552433347,187009066.0,222882733.0,253038013.0,57449092.071120046,10.81,1,135.74,9.0,0.9064440129252747,0.910194245603671,309.0,129.0,382.0,3.0,3,1,13,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16
SD-1010-01,2026-03-30,AREA 1,ACEH,323656244,279.64,1157403.205642855,1.057399944891479,12614223.0,302909034.0,200470885.5,136311213.58991802,264.46000000000004,2,11.25,7.0,0.9406346650211831,0.9102757053756241,310.0,36.0,101.0,2.0,3,1,14,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288
SD-1010-01,2026-04-06,AREA 1,ACEH,145821354,115.15,1266359.890025194,0.9999999131567596,323656244.0,299351219.0,205657688.0,141792909.37965152,115.15,1,255.26999999999998,11.0,0.9128522059486409,0.9176915048618725,204.4,277.0,507.0,5.0,4,2,15,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575
SD-1010-01,2026-04-13,AREA 1,ACEH,404303403,372.28,1086019.6415058656,1.079635720676419,145821354.0,187009066.0,167275221.75,128094680.74386777,344.82,2,109.82,3.0,0.9537124660258387,0.9284108374802343,0.0,0.0,0.0,0.0,4,2,16,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545
SD-1010-01,2026-04-20,AREA 1,ACEH,468075945,420.18,1113989.0852970374,1.1091811121593076,404303403.0,12614223.0,221598806.0,176270122.80337662,378.82,2,332.82,16.0,0.8940044887180486,0.9253009564284278,0.0,0.0,0.0,0.0,4,2,17,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685
