regional,opco_area,province_code,province_desc,district_code,district_desc,brand,material_code,material_desc,delivery_type,baseunit_of_measure,shipto,shipto_desc,soldto,soldto_desc,plant,plant_name,area_name,segment,segment_material,quantity,revenue,incoterm,date
AREA 5,ST,1035,SULAWESI TENGGARA,103502,KOTA KENDARI,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,BAG,WH-1035-01,Gudang Sulawesi Tenggara 01,SD-1035-03,PT Distributor Sulawesi Tenggara 03,PL-005,Pabrik Pangkep,AREA 79 KENDARI,MB,Retail Bag,47.04,58768765,Pickup,2026-01-01
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Vanguard,MAT003,Vanguard Semen Tecton Khusus,ZLC,BAG,WH-1026-02,Gudang Bali 02,SD-1026-01,PT Distributor Bali 01,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,36.08,40532235,Pickup,2026-01-01
AREA 1,SP,1012,SUMATERA BARAT,101203,KOTA BUKIT TINGGI,Fonda,MAT004,Fonda Semen Portland Komposit,ZSLF,BAG,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-01,PT Distributor Sumatera Barat 01,PL-001,Pabrik Indarung,AREA 12 BUKITTINGGI,MB,Retail Bag,44.01,44379507,Pickup,2026-01-01
AREA 5,ST,1039,MALUKU,103902,KOTA AMBON,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,ZAK,WH-1039-01,Gudang Maluku 01,SD-1039-01,PT Distributor Maluku 01,PL-005,Pabrik Pangkep,AREA 92 MALUKU,MB,Retail Bag,39.33,39468323,Pickup,2026-01-01
AREA 3,SBI,1022,JAWA BARAT,102203,KOTA BANDUNG,Kinetiq,MAT002,Kinetiq Semen PCC Premium,ZSLF,ZAK,WH-1022-02,Gudang Jawa Barat 02,SD-1022-01,PT Distributor Jawa Barat 01,PL-003,Pabrik Narogong,AREA 38 BANDUNG,FB,Retail Bag,135.03,130867160,Delivery,2026-01-01
AREA 5,ST,1036,SULAWESI TENGAH,103602,KOTA PALU,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLFP,ZAK,WH-1036-01,Gudang Sulawesi Tengah 01,SD-1036-03,PT Distributor Sulawesi Tengah 03,PL-005,Pabrik Pangkep,AREA 81 PALU,FB,Retail Bag,132.14,159699118,Pickup,2026-01-01
AREA 5,ST,1041,PAPUA,104101,KABUPATEN JAYAPURA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLFP,BAG,WH-1041-02,Gudang Papua 02,SD-1041-01,PT Distributor Papua 01,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,MB,Retail Bag,88.72,98854219,Pickup,2026-01-01
AREA 5,ST,1027,NUSA TENGGARA BARAT,102701,KABUPATEN LOMBOK BARAT,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLFP,BAG,WH-1027-02,Gudang Nusa Tenggara Barat 02,SD-1027-03,PT Distributor Nusa Tenggara Barat 03,PL-005,Pabrik Pangkep,AREA 86 LOMBOK,FB,Retail Bag,143.65,140137757,Pickup,2026-01-01
AREA 5,ST,1034,SULAWESI BARAT,103403,KABUPATEN POLEWALI MANDAR,Atlas,MAT001,Atlas Semen Portland Tipe I,ZSLF,BAG,WH-1034-01,Gudang Sulawesi Barat 01,SD-1034-02,PT Distributor Sulawesi Barat 02,PL-005,Pabrik Pangkep,AREA 75 POLEWALI MDR,FB,Retail Bag,68.03,82499300,Delivery,2026-01-01
AREA 2,SMBR,1019,LAMPUNG,101901,KABUPATEN LAMPUNG SELATAN,Monolith,MAT003,Monolith Semen Tecton Khusus,ZLFP,BAG,WH-1019-01,Gudang Lampung 01,SD-1019-02,PT Distributor Lampung 02,PL-002,Pabrik Baturaja,AREA 29 BANDAR LMPNG,MB,Retail Bag,85.37,97106496,Delivery,2026-01-01
AREA 1,SP,1015,JAMBI,101502,KOTA JAMBI,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLFP,ZAK,WH-1015-02,Gudang Jambi 02,SD-1015-02,PT Distributor Jambi 02,PL-001,Pabrik Indarung,AREA 18 JAMBI,MB,Retail Bag,118.82,137306966,Delivery,2026-01-01
AREA 5,ST,1039,MALUKU,103901,KABUPATEN MALUKU TENGAH,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,ZAK,WH-1039-01,Gudang Maluku 01,SD-1039-03,PT Distributor Maluku 03,PL-005,Pabrik Pangkep,AREA 92 MALUKU,FB,Retail Bag,134.15,155247233,Delivery,2026-01-01
AREA 3,SBI,1020,BANTEN,102003,KOTA CILEGON,Omnicore,MAT001,Omnicore Semen Portland Tipe I,ZLFP,BAG,WH-1020-02,Gudang Banten 02,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,10.51,13407344,Pickup,2026-01-01
AREA 2,SMBR,1019,LAMPUNG,101902,KOTA BANDAR LAMPUNG,Monolith,MAT003,Monolith Semen Tecton Khusus,ZSLF,BAG,WH-1019-01,Gudang Lampung 01,SD-1019-02,PT Distributor Lampung 02,PL-002,Pabrik Baturaja,AREA 29 BANDAR LMPNG,MB,Retail Bag,115.59,135448477,Delivery,2026-01-01
AREA 3,SBI,1020,BANTEN,102002,KOTA SERANG,Kinetiq,MAT001,Kinetiq Semen Portland Tipe I,ZLC,BAG,WH-1020-02,Gudang Banten 02,SD-1020-02,PT Distributor Banten 02,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,132.32,165200196,Delivery,2026-01-01
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZLFP,ZAK,WH-1014-01,Gudang Kepulauan Riau 01,SD-1014-03,PT Distributor Kepulauan Riau 03,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,MB,Retail Bag,123.98,128420343,Pickup,2026-01-01
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT004,Monolith Semen Portland Komposit,ZLFP,ZAK,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-01,PT Distributor Sumatera Selatan 01,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,FB,Retail Bag,79.07,78529240,Pickup,2026-01-01
AREA 3,SBI,1023,JAWA TENGAH,102302,KOTA SEMARANG,Tecton,MAT004,Tecton Semen Portland Komposit,ZSLF,BAG,WH-1023-02,Gudang Jawa Tengah 02,SD-1023-03,PT Distributor Jawa Tengah 03,PL-003,Pabrik Narogong,AREA 43 SEMARANG,FB,Retail Bag,32.98,31449299,Pickup,2026-01-01
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Vanguard,MAT002,Vanguard Semen PCC Premium,ZSLF,BAG,WH-1025-01,Gudang Jawa Timur 01,SD-1025-03,PT Distributor Jawa Timur 03,PL-004,Pabrik Tuban,AREA 53 MALANG,FB,Retail Bag,82.6,82978721,Delivery,2026-01-01
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLFP,ZAK,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,FB,Retail Bag,76.46,80659565,Delivery,2026-01-01
