no_survey,visit_id,visit_date,checkin_time,checkout_time,checkin_latitude,checkin_longitude,customer_code,customer_name,cluster_name,provinsi_id,provinsi,area_id,area_name,kabupaten_id,kabupaten,sap_code,salesman,salesman_id,distributor_code,distributor_name,id_supervisor,supervisor,product_code,product_name,stock,volume_sales,cost_price,order_date,volume_order,sale_price,kapasitas_jual,kapasitas_gudang,kemasan,brand,brand_group
SRV-20260101-9741,VAtlas-20260101-760,2026-01-01,15:18:00,15:50:00,-4.74512136796575,113.307902762007,CUAtlas-102002-1,Toko Survey 102002 1,Platinum,1020,BANTEN,Omnicore,AREA 33 BANTEN,102002,KOTA SERANG,SAP-CUAtlas-102002-1,Salesman N39,SLS-039,SD-1020-01,PT Distributor Banten 01,FondaV-009,Supervisor Q9,PRD-939,Semen Fonda Standar,313,73,46625,2025-12-25,95,65039,567,710,40 Kg,Fonda,SIG
SRV-20260101-9615,VAtlas-20260101-895,2026-01-01,11:07:00,11:46:00,-5.93617159970638,127.52808573386,CUAtlas-104002-0,Toko Survey 104002 0,Platinum,1040,MALUKU UTARA,Atlas,AREA 91 MALUKU UTARA,104002,KOTA TERNATE,SAP-CUAtlas-104002-0,Salesman M38,SLS-038,SD-1040-02,PT Distributor Maluku Utara 02,FondaV-009,Supervisor Q9,PRD-154,Semen Kinetiq Standar,163,42,50110,2025-12-28,73,61993,289,1333,40 Kg,Kinetiq,SIG
SRV-20260101-1128,VAtlas-20260101-260,2026-01-01,14:25:00,14:51:00,-7.43960936259829,125.491068878753,CUAtlas-104101-1,Toko Survey 104101 1,Silver,1041,PAPUA,Atlas,AREA 95 JAYAPURA,104101,KABUPATEN JAYAPURA,SAP-CUAtlas-104101-1,Salesman Q94,SLS-094,SD-1041-03,PT Distributor Papua 03,FondaV-019,Supervisor G19,PRD-528,Semen BINTA Premium,277,84,50533,2025-12-29,168,60633,754,340,50 Kg,BINTA,INTP
SRV-20260101-7395,VAtlas-20260101-447,2026-01-01,09:33:00,10:02:00,-6.24649424322318,116.781591414865,CUAtlas-101802-3,Toko Survey 101802 3,Silver,1018,BENGKULU,Fonda,AREA 21 BENGKULU,101802,KOTA BENGKULU,SAP-CUAtlas-101802-3,Salesman T71,SLS-071,SD-1018-02,PT Distributor Bengkulu 02,FondaV-017,Supervisor I17,PRD-333,Semen Omnicore Premium,342,68,53330,2025-12-31,173,57946,817,735,50 Kg,Omnicore,SIG
SRV-20260101-9147,VAtlas-20260101-173,2026-01-01,08:17:00,08:35:00,-3.14811049185652,104.350141439371,CUAtlas-101802-0,Toko Survey 101802 0,Platinum,1018,BENGKULU,Fonda,AREA 21 BENGKULU,101802,KOTA BENGKULU,SAP-CUAtlas-101802-0,Salesman Y24,SLS-024,SD-1018-03,PT Distributor Bengkulu 03,FondaV-011,Supervisor O11,PRD-658,Semen Vanguard Standar,99,93,46834,2025-12-26,21,67856,786,1259,50 Kg,Vanguard,SIG
SRV-20260101-9175,VAtlas-20260101-656,2026-01-01,08:59:00,09:40:00,-8.01022245572057,114.925638213756,CUAtlas-103801-0,Toko Survey 103801 0,Silver,1038,GORONTALO,Atlas,AREA 83 GORONTALO,103801,KABUPATEN GORONTALO,SAP-CUAtlas-103801-0,Salesman W100,SLS-100,SD-1038-02,PT Distributor Gorontalo 02,FondaV-016,Supervisor J16,PRD-964,Semen Fonda Premium,483,65,53261,2025-12-25,58,66506,654,968,40 Kg,Fonda,SIG
SRV-20260101-7346,VAtlas-20260101-657,2026-01-01,09:40:00,10:00:00,2.95352227953381,101.62250334683,CUAtlas-104102-2,Toko Survey 104102 2,Silver,1041,PAPUA,Atlas,AREA 95 JAYAPURA,104102,KOTA JAYAPURA,SAP-CUAtlas-104102-2,Salesman U72,SLS-072,SD-1041-02,PT Distributor Papua 02,FondaV-015,Supervisor K15,PRD-709,Semen Tecton Premium,346,12,47953,2025-12-30,148,62512,578,568,40 Kg,Tecton,SIG
SRV-20260101-5648,VAtlas-20260101-465,2026-01-01,16:33:00,17:00:00,-3.94978755710611,136.642674306617,CUAtlas-103003-0,Toko Survey 103003 0,Super Platinum,1030,KALIMANTAN SELATAN,Atlas,AREA 65 BANJARMASIN,103003,KOTA BANJAR BARU,SAP-CUAtlas-103003-0,Salesman I60,SLS-060,SD-1030-01,PT Distributor Kalimantan Selatan 01,FondaV-001,Supervisor Y1,PRD-852,Semen Kinetiq Premium,93,94,50602,2025-12-29,71,68093,605,1774,50 Kg,Kinetiq,SIG
SRV-20260101-2690,VAtlas-20260101-163,2026-01-01,13:41:00,14:04:00,4.66096909912825,116.041675669529,CUAtlas-103502-0,Toko Survey 103502 0,Platinum,1035,SULAWESI TENGGARA,Atlas,AREA 79 KENDARI,103502,KOTA KENDARI,SAP-CUAtlas-103502-0,Salesman U72,SLS-072,SD-1035-03,PT Distributor Sulawesi Tenggara 03,FondaV-017,Supervisor I17,PRD-351,Semen Atlas Standar,154,16,48795,2025-12-29,129,64123,864,1091,40 Kg,Atlas,SIG
SRV-20260101-2530,VAtlas-20260101-945,2026-01-01,09:58:00,10:38:00,-4.9356165711359,126.452329357419,CUAtlas-101702-1,Toko Survey 101702 1,Bronze,1017,KEPULAUAN BANGKA BELITUNG,Omnicore,AREA 28 BANGKA BLTNG,101702,KOTA PANGKAL PINANG,SAP-CUAtlas-101702-1,Salesman U46,SLS-046,SD-1017-03,PT Distributor Kepulauan Bangka Belitung 03,FondaV-010,Supervisor P10,PRD-824,Semen Vanguard Premium,129,15,53169,2025-12-26,157,58414,856,1677,40 Kg,Vanguard,SIG
SRV-20260101-4181,VAtlas-20260101-746,2026-01-01,08:56:00,09:34:00,4.40997654299892,122.20902204279,CUAtlas-101502-2,Toko Survey 101502 2,Bronze,1015,JAMBI,Monolith,AREA 18 JAMBI,101502,KOTA JAMBI,SAP-CUAtlas-101502-2,Salesman E82,SLS-082,SD-1015-01,PT Distributor Jambi 01,FondaV-012,Supervisor N12,PRD-350,Semen Tecton Standar,203,80,52063,2025-12-28,37,57601,731,377,50 Kg,Tecton,SIG
